method,query_id,unans_type,question,reason_unanswerable,answer
llm_only,uq_0028,regulation_not_covered,Apa isi SNI 8593:2018 tentang standar mutu jagung untuk pangan?,SNI 8593:2018 tidak ada di corpus.,SNI 8593:2018 adalah Standar Nasional Indonesia untuk **
llm_only,uq_0029,regulation_not_covered,Bagaimana isi Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi?,Tidak ada Permenkeu apa pun di corpus.,Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program
llm_only,uq_0030,regulation_not_covered,Apa isi Peraturan Pemerintah Nomor 8 Tahun 2016 tentang Perubahan Status Kawasan Transmigrasi?,PP No. 8/2016 tidak ada di corpus.,Peraturan Pemerintah (PP) Nomor 8 Tahun 2016 adalah **perubahan atas
llm_only,uq_0031,commodity_not_covered,Apa standar teknis budidaya teh di kawasan transmigrasi?,"Komoditas di corpus: padi, jagung, karet, udang, sapi, kopi, kakao, kelapa sawit — teh tidak termasuk.",Standar teknis budidaya teh di kawasan transmigrasi pada dasarnya mengikuti standar budid
llm_only,uq_0032,commodity_not_covered,Bagaimana panduan budidaya tembakau untuk petani transmigran?,Tembakau tidak ada di corpus.,Panduan budidaya tembakau untuk petani transmigran pada dasarnya mengikuti prinsip-
llm_only,uq_0033,commodity_not_covered,Apa kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi?,Lada tidak ada di corpus.,Kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi mengacu pada Standar
llm_only,uq_0034,commodity_not_covered,Sebutkan teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi.,Cengkeh tidak ada di corpus.,Teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi
llm_only,uq_0035,commodity_not_covered,Apa standar pengolahan pala di kawasan transmigrasi Maluku?,Pala tidak ada di corpus meski Maluku (provinsinya) ada — menguji apakah sistem 'memaksakan' jawaban dari konteks regional yang salah komoditas.,"Standar pengolahan pala di kawasan transmigrasi Maluku, seperti halnya di wilayah penghasil"
llm_only,uq_0036,commodity_not_covered,Bagaimana pedoman budidaya kapas untuk program transmigrasi?,Kapas tidak ada di corpus.,Pedoman budidaya kapas secara spesifik untuk program transmigrasi tidak umum ditemukan karena kapas bukan
llm_only,uq_0037,commodity_not_covered,Apa standar teknis budidaya tebu di kawasan transmigrasi?,Tebu tidak ada di corpus.,Standar teknis budidaya tebu di kawasan transmigrasi umumnya mengacu pada pedoman bud
llm_only,uq_0038,commodity_not_covered,Sebutkan panduan budidaya kentang untuk petani transmigran dataran tinggi.,Kentang tidak ada di corpus.,Berikut adalah panduan budidaya kentang untuk petani transmigran di dataran tinggi
llm_only,uq_0039,commodity_not_covered,Apa kriteria mutu bawang merah dalam program transmigrasi?,Bawang merah tidak ada di corpus.,Kriteria mutu bawang merah dalam program transmigrasi umumnya mengacu pada Standar Nasional Indonesia
llm_only,uq_0040,commodity_not_covered,Bagaimana pedoman budidaya rumput laut di kawasan transmigrasi pesisir?,Rumput laut tidak ada di corpus (yang ada dari sektor perairan hanya udang).,Pedoman budidaya rumput laut di kawasan transmigrasi pesisir umumnya mengikuti praktik bud
llm_only,uq_0041,commodity_not_covered,Apa standar budidaya singkong/ubi kayu di kawasan transmigrasi?,Singkong/ubi kayu tidak ada di corpus.,Standar budidaya singkong (ubi kayu) di kawasan transmigrasi umumnya mengacu pada ped
llm_only,uq_0042,commodity_not_covered,Sebutkan teknik budidaya pisang untuk kawasan transmigrasi.,Pisang tidak ada di corpus.,"Berikut adalah teknik budidaya pisang yang umum diterapkan di kawasan transmigrasi:

1."
llm_only,uq_0043,commodity_not_covered,Apa pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi?,Kelapa biasa (kopra) tidak ada di corpus — hanya kelapa sawit.,Pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi umumnya berf
llm_only,uq_0044,commodity_not_covered,Bagaimana standar budidaya vanili untuk petani transmigran?,Vanili tidak ada di corpus.,Standar budidaya vanili untuk petani transmigran umumnya mengacu pada praktik pertanian yang baik
llm_only,uq_0045,commodity_not_covered,Apa kriteria mutu jambu mete dalam program pengembangan komoditas transmigrasi?,Jambu mete tidak ada di corpus.,Kriteria mutu jambu mete (gelondong/biji mete) dalam program pengembangan komod
llm_only,uq_0046,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi?,"Pertambangan bukan cakupan corpus (fokus: profil kawasan, standar komoditas, layanan, regulasi transmigrasi).",Prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi secara umum mengikuti al
llm_only,uq_0047,out_of_domain_mixing,Apa syarat pengajuan Kredit Usaha Rakyat (KUR) untuk petani transmigran?,Skema pembiayaan perbankan KUR tidak dibahas di corpus.,Syarat pengajuan Kredit Usaha Rakyat (KUR) untuk petani transmigran pada das
llm_only,uq_0048,out_of_domain_mixing,Bagaimana prosedur pendaftaran BPJS Kesehatan bagi warga transmigran?,BPJS Kesehatan (domain kesehatan) tidak dibahas di corpus.,Prosedur pendaftaran BPJS Kesehatan bagi warga transmigran pada dasarnya mengikuti prosedur umum p
llm_only,uq_0049,out_of_domain_mixing,Apa ketentuan pajak UMKM bagi pelaku usaha di kawasan transmigrasi?,Perpajakan tidak dibahas di corpus.,Pelaku usaha UMKM di kawasan transmigrasi pada umumnya tunduk pada ketentuan pajak UMKM
llm_only,uq_0050,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pariwisata di kawasan transmigrasi?,"Pariwisata hanya pernah muncul sebagai skenario kebijakan hasil generate SR di contoh kualitatif paper, bukan fakta dari dokumen sumber.",Prosedur perizinan usaha pariwisata di kawasan transmigrasi pada dasarnya mengikuti
llm_only,uq_0051,out_of_domain_mixing,Apa syarat pendirian sekolah menengah kejuruan di kawasan transmigrasi?,Pendidikan formal (SMK) tidak dibahas di corpus.,Pendirian Sekolah Menengah Kejuruan (SMK) di kawasan transmigrasi pada dasarnya mengikuti
llm_only,uq_0052,out_of_domain_mixing,Bagaimana skema investasi pembangkit listrik tenaga surya di kawasan transmigrasi?,Energi terbarukan tidak dibahas di corpus.,Skema investasi Pembangkit Listrik Tenaga Surya (PLTS) di kawasan trans
llm_only,uq_0053,out_of_domain_mixing,Apa prosedur perizinan eksplorasi minyak dan gas bumi di kawasan transmigrasi?,Migas tidak dibahas di corpus.,Prosedur perizinan eksplorasi minyak dan gas bumi di kawasan transmigrasi pada dasarnya
llm_only,uq_0054,out_of_domain_mixing,Bagaimana ketentuan pembangunan jalan tol yang melintasi kawasan transmigrasi?,Infrastruktur jalan tol tidak dibahas di corpus.,Pembangunan jalan tol yang melintasi kawasan transmigrasi di Indonesia tunduk pada ketentuan umum
llm_only,uq_0055,out_of_domain_mixing,Apa syarat pendaftaran perguruan tinggi negeri baru di kawasan transmigrasi?,Perguruan tinggi tidak dibahas di corpus.,"Secara umum, syarat pendaftaran untuk perguruan tinggi negeri (PTN) baru di kawasan"
llm_only,uq_0056,out_of_domain_mixing,Bagaimana prosedur izin usaha perikanan tangkap laut dalam bagi warga transmigran?,Perikanan tangkap laut dalam berbeda dari budidaya udang tambak yang ada di corpus.,Prosedur izin usaha perikanan tangkap laut dalam bagi warga transmigran pada dasarnya mengikuti
llm_only,uq_0057,out_of_domain_mixing,Apa ketentuan perbankan syariah untuk pembiayaan usaha transmigran?,Perbankan syariah tidak dibahas di corpus.,Ketentuan perbankan syariah untuk pembiayaan usaha transmigran pada dasarnya
llm_only,uq_0058,out_of_domain_mixing,Bagaimana regulasi e-commerce untuk produk UMKM kawasan transmigrasi?,E-commerce tidak dibahas di corpus.,Regulasi e-commerce untuk produk UMKM di kawasan transmigrasi pada dasarnya **mengikuti regul
llm_only,uq_0059,out_of_domain_mixing,Apa syarat pendirian rumah sakit tipe C di kawasan transmigrasi?,Fasilitas kesehatan tingkat lanjut (RS tipe C) tidak dibahas di corpus.,Pendirian rumah sakit tipe C di kawasan transmigrasi pada dasarnya mengikuti persyaratan umum pendirian rumah sakit
llm_only,uq_0060,out_of_domain_mixing,Bagaimana prosedur sertifikasi halal untuk produk olahan komoditas di kawasan transmigrasi?,Sertifikasi halal tidak dibahas di corpus.,Prosedur sertifikasi halal untuk produk olahan komoditas di kawasan transmigrasi pada dasarnya
standard_rag,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.",Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Nomor
hybrid_rag,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,Sumatera Barat tidak ada di corpus (hanya Sumut & Sumsel).,"Berdasarkan bukti yang diberikan, terdapat dua kawasan transmigrasi di Provinsi Sumatera Barat:
1."
hybrid_rag,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Papua Barat Daya (provinsi hasil pemekaran 2022) tidak ada di corpus, walau 'Papua' (provinsi induk lama) ada — sengaja mirip untuk menguji false-positive retrieval.","Berdasarkan bukti yang ditemukan, untuk Kawasan Transmigrasi Klamono–Segun di Provinsi Papua Barat Daya:

*   **Status kawasan:** Berkembang
*   **Nilai IPKT 2023:** 29,12"
hybrid_rag,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.","Berdasarkan bukti yang diberikan, Undang-Undang Nomor 15 Tahun 1997"
hybrid_rag,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.","Berdasarkan bukti yang ditemukan:

Peraturan Pemerintah Nomor 3 Tahun 2014 tentang"
hybrid_rag,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Tidak ada Perpres apa pun di corpus.,"Berdasarkan bukti yang diberikan, Peraturan Presiden Nomor 50 Tahun 2018"
hybrid_rag,uq_0042,commodity_not_covered,Sebutkan teknik budidaya pisang untuk kawasan transmigrasi.,Pisang tidak ada di corpus.,"Berdasarkan bukti yang diberikan, teknik budidaya pisang yang disebutkan adalah dalam konteks penggunaannya"
hybrid_rag,uq_0060,out_of_domain_mixing,Bagaimana prosedur sertifikasi halal untuk produk olahan komoditas di kawasan transmigrasi?,Sertifikasi halal tidak dibahas di corpus.,"Berdasarkan bukti yang diberikan, disebutkan bahwa ""Produk unggulan kawasan perlu disertifikasi"
hyde_rag,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.","Berdasarkan bukti yang diberikan, Undang-Undang Nomor 15 Tahun 1"
hyde_rag,uq_0043,commodity_not_covered,Apa pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi?,Kelapa biasa (kopra) tidak ada di corpus — hanya kelapa sawit.,"Berdasarkan bukti yang diberikan, tidak ada pedoman spesifik mengenai budidaya kelapa (non"
hyde_rag,uq_0058,out_of_domain_mixing,Bagaimana regulasi e-commerce untuk produk UMKM kawasan transmigrasi?,E-commerce tidak dibahas di corpus.,"Berdasarkan bukti yang diberikan, regulasi e-commerce untuk produk UMKM kawasan transmig"
adaptive_rag,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,"Bali tidak ada di corpus (province coverage: Sultra, Sulteng, Sulbar, Kalsel, Sumut, Kalbar, Papua, Sumsel, Maluku, Kalteng, Sulsel, Sulut, NTT, Kaltim).","Provinsi Bali secara historis merupakan daerah asal transmigran (pengirim penduduk), bukan daerah"
adaptive_rag,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,Jawa Barat tidak ada di corpus.,Untuk menjawab pertanyaan mengenai status Indeks Pembangunan Kawasan Transmigrasi (IPKT)
adaptive_rag,uq_0003,province_not_in_corpus,Sebutkan daftar kawasan transmigrasi yang berada di Provinsi Jawa Tengah beserta status IPKT-nya.,Jawa Tengah tidak ada di corpus.,
adaptive_rag,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?",Jawa Barat/Karawang tidak ada di corpus.,"Pertanyaan ini sulit dijawab secara faktual dengan angka spesifik, karena:

1."
adaptive_rag,uq_0005,province_not_in_corpus,"Apa kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat?",NTB tidak ada di corpus (hanya NTT yang tercakup); nama kawasan fiktif.,"Kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat kemungkinan besar adalah nama f"
adaptive_rag,uq_0006,province_not_in_corpus,Bandingkan status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023.,Aceh dan Riau tidak ada di corpus.,Berdasarkan data Indeks Pembangunan Kawasan Transmigrasi (IPKT) tahun
adaptive_rag,uq_0007,province_not_in_corpus,Apa saja program layanan transmigrasi yang tersedia di Provinsi DI Yogyakarta?,"DIY tidak ada di corpus (layanan_* files yang ada: Grobogan, Bondowoso, Sleman, Solo).","Di Provinsi DI Yogyakarta, program layanan transmigrasi umumnya dikelola oleh **Dinas Tenaga Kerja"
adaptive_rag,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,Sumatera Barat tidak ada di corpus (hanya Sumut & Sumsel).,Pertanyaan ini cukup spesifik dan menantang karena program transmigrasi besar-bes
adaptive_rag,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,Kepulauan Riau tidak ada di corpus.,"Berdasarkan informasi yang tersedia dan karakteristik geografis serta ekonomi Provinsi Kepulauan Riau, status"
adaptive_rag,uq_0011,province_not_in_corpus,Bagaimana prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung?,Bangka Belitung tidak ada di corpus.,Prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung umumnya akan ber
adaptive_rag,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?",Gorontalo tidak ada di corpus; nama kawasan fiktif.,
adaptive_rag,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,Papua Pegunungan (provinsi pemekaran) tidak ada di corpus.,"Komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan, terutama yang cocok"
adaptive_rag,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,Banten tidak ada di corpus.,Pertanyaan ini membutuhkan data spesifik yang sangat dinamis dan biasanya diperbarui setiap tahun oleh Kementerian Desa
adaptive_rag,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.",
adaptive_rag,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.",Perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-
adaptive_rag,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,"Permentrans yang ada di corpus adalah No. 1/2024, 1/2025, 8/2025 — bukan No. 12/2019.",
adaptive_rag,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Tidak ada Perpres apa pun di corpus.,Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Trans
adaptive_rag,uq_0020,regulation_not_covered,Bagaimana isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa?,Regulasi ini disebut sebagai contoh kualitatif di paper (Fig. 4) tapi teks lengkapnya tidak ada sebagai dokumen tersendiri di corpus.,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Republik Indonesia Nomor"
adaptive_rag,uq_0021,regulation_not_covered,Apa isi SNI 7331:2019 tentang mutu biji kopi?,"SNI yang ada di corpus adalah SNI 8926 dan SNI 6232:2025, bukan SNI 7331:2019.",SNI 7331:2019 adalah Standar Nasional Indonesia yang mengatur tentang
adaptive_rag,uq_0022,regulation_not_covered,Sebutkan pasal-pasal penting dalam Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi.,UU No. 2/1972 tidak ada di corpus.,Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi adalah salah satu
adaptive_rag,uq_0023,regulation_not_covered,Apa isi Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi?,Permentan yang ada di corpus tidak bernomor/bertahun ini.,Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komod
adaptive_rag,uq_0024,regulation_not_covered,Apa perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015?,Permentrans No. 5/2015 tidak ada di corpus.,Peraturan Menteri Transmigrasi dan Tenaga Kerja Nomor 5 Tahun 2015
adaptive_rag,uq_0025,regulation_not_covered,Bagaimana ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi?,PP No. 12/2021 tidak ada di corpus.,Berdasarkan Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Trans
adaptive_rag,uq_0026,regulation_not_covered,Apa isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional?,Tidak ada Inpres apa pun di corpus.,
adaptive_rag,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,Permentrans No. 20/2022 tidak ada di corpus.,Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data
adaptive_rag,uq_0028,regulation_not_covered,Apa isi SNI 8593:2018 tentang standar mutu jagung untuk pangan?,SNI 8593:2018 tidak ada di corpus.,SNI 8593:2018 adalah standar nasional Indonesia yang mengatur **Syarat
adaptive_rag,uq_0029,regulation_not_covered,Bagaimana isi Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi?,Tidak ada Permenkeu apa pun di corpus.,Peraturan Menteri Keuangan (PMK) Nomor 77 Tahun 201
adaptive_rag,uq_0030,regulation_not_covered,Apa isi Peraturan Pemerintah Nomor 8 Tahun 2016 tentang Perubahan Status Kawasan Transmigrasi?,PP No. 8/2016 tidak ada di corpus.,
