method,query_id,unans_type,question,answer,raw_is_refusal,corrected_is_refusal
hybrid_rag,uq_0028,regulation_not_covered,Apa isi SNI 8593:2018 tentang standar mutu jagung untuk pangan?,"Informasi mengenai isi SNI 8593:2018 tentang standar mutu jagung untuk pangan tidak ditemukan dalam bukti yang diberikan. Bukti yang tersedia membahas SNI 6232:2025 dan SNI 8926:2020 untuk jagung, serta SNI 6128:20",False,True
crag,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?","Informasi mengenai jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat, tidak ditemukan dalam",False,True
crag,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?","Informasi mengenai skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung tidak ditemukan",False,True
crag,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?","Informasi mengenai luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo tidak ditemukan dalam bukti yang diberikan. Bukti yang ada hanya menyebutkan luas Kawasan Transmigrasi Sumalata di Kabupaten",False,True
react,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?","Kabupaten Karawang, Provinsi Jawa Barat, secara historis lebih dikenal sebagai daerah asal transmigran, bukan daerah tujuan utama program transmigrasi. Oleh karena itu, data spesifik mengenai ""jumlah penduduk di kawasan transmigrasi"" di Kabupaten Karawang kemungkinan besar tidak tersedia, karena Karawang tidak memiliki kawasan transmigrasi yang signifikan sebagai daerah tujuan. Program transmigrasi umumnya memindahkan penduduk dari daerah padat seperti Jawa (termasuk Jawa Barat) ke daerah-daerah di luar Jawa.",False,True
react,uq_0005,province_not_in_corpus,"Apa kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat?","Kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat, yang merupakan Unit Pemukiman Transmigrasi (UPT) di Kabupaten Lombok Utara, umumnya mengikuti pedoman dan regulasi program transmigrasi nasional pada masa pengembangannya (sekitar tahun 1980-an dan 1990-an). Kriteria tersebut meliputi:

1.  **Ketersediaan Lahan:** Adanya lahan yang cukup luas dan sesuai untuk permukiman, pertanian (terutama pertanian lahan kering yang menjadi fokus di Makmur Jaya), dan fasilitas umum.
2.  **Status Lahan:** Lahan harus berstatus jelas, bebas dari sengketa, bukan kawasan hutan lindung atau konservasi, dan bukan milik pribadi tanpa pelepasan hak yang sah.
3.  **Aksesibilitas:** Lokasi memiliki aksesibilitas yang memadai atau berpotensi untuk dikembangkan aksesnya, baik darat maupun laut, untuk mendukung mobilitas penduduk dan distribusi hasil pertanian.
4.  **Potensi Pengembangan Ekonomi:** Lahan memiliki potensi untuk dikembangkan secara ekonomi, khususnya di sektor pertanian, perkebunan, atau perikanan, guna menjamin keberlanjutan penghidupan transmigran.
5.  **Keberlanjutan Lingkungan:** Pertimbangan dampak lingkungan agar pembangunan kawasan tidak merusak ekosistem dan sumber daya alam.
6.  **Dukungan Pemerintah Daerah:** Adanya dukungan dan persetujuan dari pemerintah daerah setempat untuk pengembangan kawasan transmigrasi.

Meskipun kriteria spesifik untuk ""Makmur Jaya"" tidak tersedia dalam satu dokumen tunggal, penetapannya pasti didasarkan pada prinsip-prinsip umum ini untuk mencapai tujuan program transmigrasi, yaitu pemerataan penduduk, pengembangan wilayah, dan peningkatan kesejahteraan masyarakat.",False,True
react,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?","Informasi mengenai skor Indeks Pembangunan Kawasan Transmigrasi (IPKT) untuk kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung tidak ditemukan dalam hasil pencarian.",False,True
react,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,"Berdasarkan pencarian yang dilakukan, tidak ditemukan informasi spesifik atau laporan resmi yang diterbitkan mengenai status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau untuk tahun 2024. Hasil pencarian menunjukkan bahwa tidak ada laporan terkini yang menyoroti pembangunan kawasan transmigrasi secara spesifik di Kepulauan Riau pada tahun tersebut.",False,True
react,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,Informasi spesifik mengenai jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten tidak tersedia secara publik dalam hasil pencarian yang dapat diakses.,False,True
selfrag,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,Informasi mengenai luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali tidak tersedia dalam bukti,False,True
selfrag,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?","Informasi mengenai jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat tidak tersedia dalam bukti yang diberikan. Bukti yang ada hanya mencantumkan data kawasan transmigrasi di Kabupaten Ogan Ilir (Sumatera Selatan), Banyuasin (Sumatera Selatan), Sijunjung (Sumatera Barat), Sintang (Kalimantan Barat), dan Kubu Raya (Kalimantan Barat).",False,True
selfrag,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Di kawasan transmigrasi Klamono-Segun, Provinsi Papua Barat Daya, status kawasan adalah Berkembang dengan nilai IPKT 2023 sebesar 29,12. Informasi mengenai jumlah rumah tangga tidak tersedia dalam bukti yang diberikan, hanya jumlah penduduk (15.574 jiwa).",False,True
selfrag,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,"Berdasarkan bukti yang diberikan, tidak ditemukan informasi mengenai isi Peraturan Menteri Transmigrasi Nomor",False,True
flare,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,Luas total kawasan transmigrasi berstatus Mandiri di Provinsi Bali adalah [ Informasi mengenai luas total kawasan transmigrasi berstatus Mandiri di Provinsi Bali tidak ditemukan dalam bukti yang diberikan. Bukti yang ada hanya mencakup Kawasan Transmigrasi Tampolore di Sulawesi Tengah dan Kawasan Transmigrasi Salor di Papua Selatan. Luas total kawasan transmigrasi berstatus Mandiri di Provinsi Bali adalah ** i tidak ditemukan dalam bukti yang diberikan. Bukti yang ada hanya menc,False,True
flare,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,"Status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau pada tahun Kepulauan Riau pada tahun 2024 tidak dapat diberikan berdasarkan bukti yang tersedia. Bukti yang diberikan ( bukti yang diberikan tidak mencakup informasi mengenai status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau pada tahun 2024. Bukti yang tersedia hanya membahas Kawasan Transmigrasi Salor di Provinsi Papua Selatan dan Kawasan Transmigrasi Rasau Jaya, dengan data IPKT terbaru yang disebutkan adalah untuk tahun 2023.",False,True
flare,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,"Berdasarkan data yang tersedia, jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten tidak tersedia dalam data yang diberikan. Data yang tersedia hanya mencakup informasi mengenai Kawasan Transmigrasi Patlean dan Kawasan Transmigrasi Pulau B Berdasarkan data yang tersedia, jumlah desa dengan status IDM Berikut adalah prediksi kalimat",False,True
flare,uq_0025,regulation_not_covered,Bagaimana ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi?,"Peraturan Pemerintah Nomor 12 Tahun 2021 mengatur berbagai ketentuan Berdasarkan bukti yang diberikan, tidak ditemukan informasi mengenai ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi. Bukti yang ada membahas Peraturan Menteri Transmigrasi Nomor 1 Tahun 2025 dan Peraturan Pemerintah Nomor 38 Tahun 2007. Berdasarkan bukti yang diberikan, tidak ditemukan informasi mengenai ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi. Bukti yang ada membahas Peraturan Menteri Transmigrasi Nomor 1 Tahun 2025 tentang Kerja Sama Pelaksanaan Transmigrasi Antar Pemerintah Daerah, serta beberapa Peraturan Presiden dan Peraturan Menteri Desa yang terkait dengan transmigrasi, namun tidak ada yang secara spesifik menyebutkan PP Nomor 12 Tahun 2021 atau insentif fiskal. Berdasarkan bukti yang diberikan,",False,True
flare,uq_0026,regulation_not_covered,Apa isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional?,"Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional.

**Keterangan:**
Berdasarkan bukti Berdasarkan bukti yang diberikan, tidak ditemukan informasi mengenai isi dari Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional. Bukti yang ada hanya mencantumkan daftar undang-undang dan peraturan terkait ketransmigrasian dan pemerintahan, namun tidak secara spesifik merinci isi",False,True
flare,uq_0055,out_of_domain_mixing,Apa syarat pendaftaran perguruan tinggi negeri baru di kawasan transmigrasi?,"Secara umum, syarat pendaftaran perguruan tinggi negeri baru di kawasan transmig rasi tidak dapat ditemukan dalam bukti yang diberikan. Bukti yang tersedia hanya membahas pendaftaran calon transmigrasi, bukan pendaftaran perguruan tinggi di kawasan transmigrasi. Bukti yang diberikan hanya menjelaskan tentang pendaftaran calon transmigrasi Namun, bukti yang diberikan tidak menjelaskan syarat pendaftaran bagi mahasiswa atau syarat",False,True
flare,uq_0058,out_of_domain_mixing,Bagaimana regulasi e-commerce untuk produk UMKM kawasan transmigrasi?,"Regulasi e-commerce untuk produk UMKM di kawasan transmigrasi umumnya berusaha untuk menyederhanakan dan menginovasi kebijakan nasional Namun, bukti yang diberikan tidak secara spesifik membahas regulasi e- commerce. Berdasarkan bukti yang diberikan, yaitu Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 5 Tahun 2021 tentang Tata Cara Perencanaan Kawasan Transmigrasi dan Peraturan Pemerintah Nomor 19 Tahun 2024 tentang Peraturan Pelaksanaan Undang-Undang Ketransmigrasian, tidak ditemukan informasi spesifik mengenai regulasi e",False,True
ircot,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,IPKT 2023 status for transmigration areas specifically located in Provinsi Jawa Barat. The current retrieved evidence does not contain information about transmigration areas in Provinsi Jawa Barat.,False,True
ircot,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,"The retrieved evidence does not contain ""Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi"". The",False,True
ircot,uq_0024,regulation_not_covered,Apa perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015?,"The retrieved evidence does not contain ""Peraturan Menteri Transmigrasi Nomor",False,True
ircot,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,"The retrieved evidence does not contain information about ""Peraturan Menteri Transmig",False,True
ircot,uq_0029,regulation_not_covered,Bagaimana isi Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi?,"The retrieved evidence does not contain information about ""Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi"". The documents provided are ""Peraturan Menteri Transmigrasi"" from 2024 and 2025, and a reference to ""Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi"" from 2020.

 Peraturan Menteri Keuangan Nomor 77 Tahun 2019 tentang Pembiayaan Program Transmigrasi",False,True
ircot,uq_0037,commodity_not_covered,Apa standar teknis budidaya tebu di kawasan transmigrasi?,The retrieved evidence does not contain specific technical standards for sugarcane cultivation in transm,False,True
ircot,uq_0038,commodity_not_covered,Sebutkan panduan budidaya kentang untuk petani transmigran dataran tinggi.,The retrieved evidence does not contain specific guidelines for potato cultivation for transm,False,True
arda_sr,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,Informasi mengenai status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat tidak tersedia dalam bukti yang diberikan.,False,True
arda_sr,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?","Informasi mengenai jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat tidak tersedia dalam bukti yang diberikan.",False,True
arda_sr,uq_0005,province_not_in_corpus,"Apa kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat?","Bukti yang diberikan tidak mencukupi untuk menjawab kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat.",False,True
arda_sr,uq_0006,province_not_in_corpus,Bandingkan status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023.,"Bukti yang diberikan tidak memuat informasi mengenai status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023. Oleh karena itu, bukti tidak cukup untuk menjawab pertanyaan ini.",False,True
arda_sr,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?","Informasi mengenai skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung tidak ditemukan dalam bukti yang diberikan.",False,True
arda_sr,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,"Informasi mengenai desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat tidak tersedia dalam bukti yang diberikan. Bukti hanya menyebutkan nama kawasan transmigrasi (Muara Takung–Kamang Baru dan Lunang Silaut) beserta lokasi kabupatennya, tetapi tidak merinci desa-desa target di dalamnya.",False,True
arda_sr,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,Bukti yang diberikan tidak memuat informasi mengenai status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024.,False,True
arda_sr,uq_0011,province_not_in_corpus,Bagaimana prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung?,Bukti yang diberikan tidak memuat informasi mengenai prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung.,False,True
arda_sr,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?","Informasi mengenai luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo tidak tersedia dalam bukti yang diberikan.",False,True
arda_sr,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Berdasarkan bukti yang tersedia, untuk Kawasan Transmigrasi Klamono–Segun di Provinsi Papua Barat Daya:
*   Status kawasan adalah Berkembang dengan nilai IPKT 2023 sebesar 29,12.
*   Informasi mengenai jumlah rumah tangga tidak tersedia.",False,True
arda_sr,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,"Berdasarkan bukti yang diberikan, tidak disebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan. Bukti yang ada hanya menjelaskan konsep komoditas unggulan secara umum dan menyebutkan kawasan transmigrasi di Provinsi Papua Selatan.",False,True
arda_sr,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,Informasi mengenai jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten tidak tersedia dalam bukti yang diberikan.,False,True
arda_sr,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,Bukti yang diberikan tidak memuat informasi mengenai isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,False,True
arda_sr,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi.,False,True
arda_sr,uq_0020,regulation_not_covered,Bagaimana isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa?,Bukti yang diberikan tidak memuat informasi mengenai isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa.,False,True
arda_sr,uq_0021,regulation_not_covered,Apa isi SNI 7331:2019 tentang mutu biji kopi?,Informasi mengenai isi SNI 7331:2019 tentang mutu biji kopi tidak tersedia dalam bukti yang diberikan.,False,True
arda_sr,uq_0022,regulation_not_covered,Sebutkan pasal-pasal penting dalam Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi.,Informasi mengenai pasal-pasal penting dalam Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi tidak tersedia dalam bukti yang diberikan. Bukti yang ada menyebutkan Undang-Undang Nomor 3 Tahun 1,False,True
arda_sr,uq_0023,regulation_not_covered,Apa isi Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi?,Informasi mengenai isi Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi tidak tersedia dalam bukti yang diberikan.,False,True
arda_sr,uq_0024,regulation_not_covered,Apa perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015?,Bukti yang diberikan tidak memuat informasi mengenai perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015.,False,True
arda_sr,uq_0025,regulation_not_covered,Bagaimana ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi.,False,True
arda_sr,uq_0026,regulation_not_covered,Apa isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional?,Bukti yang diberikan tidak memuat informasi mengenai isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional.,False,True
arda_sr,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,Bukti yang diberikan tidak memuat informasi mengenai isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,False,True
arda_sr,uq_0033,commodity_not_covered,Apa kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai kriteria mutu lada sesuai SNI yang berlaku di kawasan transmigrasi.,False,True
arda_sr,uq_0034,commodity_not_covered,Sebutkan teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi.,Bukti yang diberikan tidak mencukupi untuk menjawab pertanyaan mengenai teknik budidaya cengkeh yang direkomendasikan untuk kawasan transmigrasi.,False,True
arda_sr,uq_0036,commodity_not_covered,Bagaimana pedoman budidaya kapas untuk program transmigrasi?,"Bukti yang diberikan tidak memuat informasi mengenai pedoman budidaya kapas untuk program transmigrasi. Bukti 3 membahas teknologi budidaya kakao, dan bukti 5 menyebutkan komoditas pertanian pangan seperti padi, jagung, ubi kayu, kacang tanah, kedelai, dan kacang hijau.",False,True
arda_sr,uq_0038,commodity_not_covered,Sebutkan panduan budidaya kentang untuk petani transmigran dataran tinggi.,Bukti yang diberikan tidak memuat informasi mengenai panduan budidaya kentang untuk petani transmigran dataran tinggi.,False,True
arda_sr,uq_0039,commodity_not_covered,Apa kriteria mutu bawang merah dalam program transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai kriteria mutu bawang merah dalam program transmigrasi.,False,True
arda_sr,uq_0040,commodity_not_covered,Bagaimana pedoman budidaya rumput laut di kawasan transmigrasi pesisir?,Bukti yang diberikan tidak memuat informasi mengenai pedoman budidaya rumput laut di kawasan transmigrasi pesisir.,False,True
arda_sr,uq_0043,commodity_not_covered,Apa pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi?,Bukti yang diberikan tidak mencukupi untuk menjawab pertanyaan mengenai pedoman budidaya kelapa (non-sawit) di kawasan transmigrasi. Semua bukti yang tersedia hanya membahas budidaya kelapa sawit.,False,True
arda_sr,uq_0044,commodity_not_covered,Bagaimana standar budidaya vanili untuk petani transmigran?,Informasi mengenai standar budidaya vanili untuk petani transmigran tidak tersedia dalam bukti yang diberikan.,False,True
arda_sr,uq_0045,commodity_not_covered,Apa kriteria mutu jambu mete dalam program pengembangan komoditas transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai kriteria mutu jambu mete dalam program pengembangan komoditas transmigrasi.,False,True
arda_sr,uq_0046,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi?,Bukti yang diberikan tidak memuat informasi mengenai prosedur perizinan usaha pertambangan nikel di kawasan transmigrasi.,False,True
arda_sr,uq_0048,out_of_domain_mixing,Bagaimana prosedur pendaftaran BPJS Kesehatan bagi warga transmigran?,Informasi mengenai prosedur pendaftaran BPJS Kesehatan bagi warga transmigran tidak tersedia dalam bukti yang diberikan. Bukti yang ada hanya menjelaskan prosedur pendaftaran calon transmigran secara umum.,False,True
arda_sr,uq_0050,out_of_domain_mixing,Bagaimana prosedur perizinan usaha pariwisata di kawasan transmigrasi?,Informasi mengenai prosedur perizinan usaha pariwisata di kawasan transmigrasi tidak tersedia dalam bukti yang diberikan. Bukti hanya menyebutkan potensi pengembangan,False,True
